partition,horizon,precision,recall,threshold
val_calib,10,0.06134969325153374,1.0,4.183338756394981e-14
val_calib,10,0.06138392857142857,1.0,4.300227514589064e-14
val_calib,10,0.06141820212171971,1.0,4.4043750851058076e-14
val_calib,10,0.061452513966480445,1.0,4.90505598480912e-14
val_calib,10,0.06148686416992733,1.0,5.110435262825804e-14
val_calib,10,0.06152125279642058,1.0,5.5461499633069787e-14
val_calib,10,0.06155567991046446,1.0,5.65572275386969e-14
val_calib,10,0.06159014557670773,1.0,6.421777552406877e-14
val_calib,10,0.06162464985994398,1.0,6.712222991260867e-14
val_calib,10,0.061659192825112105,1.0,6.754903761475846e-14
val_calib,10,0.06169377453729669,1.0,6.861435580159462e-14
val_calib,10,0.06172839506172839,1.0,6.917451604206897e-14
val_calib,10,0.06176305446378439,1.0,7.069514314506033e-14
val_calib,10,0.06179775280898876,1.0,7.095746380606237e-14
val_calib,10,0.061832490163012926,1.0,7.156277216075984e-14
val_calib,10,0.06186726659167604,1.0,7.187962376073812e-14
val_calib,10,0.061902082160945414,1.0,7.386259399519574e-14
val_calib,10,0.061936936936936936,1.0,7.530973074008284e-14
val_calib,10,0.061971830985915494,1.0,7.580037100052079e-14
val_calib,10,0.06200676437429538,1.0,7.751118674534628e-14
val_calib,10,0.06204173716864072,1.0,7.834395556880663e-14
val_calib,10,0.062076749435665914,1.0,7.936321168675548e-14
val_calib,10,0.062111801242236024,1.0,8.033635431322482e-14
val_calib,10,0.062146892655367235,1.0,8.047473845693303e-14
val_calib,10,0.06218202374222725,1.0,8.643009119874957e-14
val_calib,10,0.06221719457013575,1.0,8.662279868304476e-14
val_calib,10,0.0622524052065648,1.0,8.723873945586001e-14
val_calib,10,0.0622876557191393,1.0,8.919647002519693e-14
val_calib,10,0.06232294617563739,1.0,9.417057517220158e-14
val_calib,10,0.06235827664399093,1.0,1.053826061280901e-13
val_calib,10,0.06239364719228588,1.0,1.0817476065794792e-13
val_calib,10,0.06242905788876277,1.0,1.13389719197227e-13
val_calib,10,0.06246450880181715,1.0,1.1542684773525203e-13
val_calib,10,0.0625,1.0,1.2275115234625642e-13
val_calib,10,0.06253553155201819,1.0,1.4635676675514394e-13
val_calib,10,0.06257110352673492,1.0,1.5573115175486124e-13
val_calib,10,0.06260671599317018,1.0,1.601219037941378e-13
val_calib,10,0.06264236902050115,1.0,1.722502025144723e-13
val_calib,10,0.06267806267806268,1.0,1.7599218861668536e-13
val_calib,10,0.06271379703534778,1.0,1.8391568460416578e-13
val_calib,10,0.06274957216200798,1.0,1.974202031485668e-13
val_calib,10,0.06278538812785388,1.0,1.9829042009000598e-13
val_calib,10,0.0628212450028555,1.0,2.1618599957498355e-13
val_calib,10,0.06285714285714286,1.0,2.1859582538698867e-13
val_calib,10,0.06289308176100629,1.0,2.2602510635679685e-13
val_calib,10,0.06292906178489703,1.0,2.3459173357262926e-13
val_calib,10,0.06296508299942759,1.0,2.4939500901926647e-13
val_calib,10,0.06300114547537228,1.0,2.8117686153749874e-13
val_calib,10,0.06303724928366762,1.0,2.881579363314475e-13
val_calib,10,0.06307339449541284,1.0,2.8839705076625e-13
val_calib,10,0.06310958118187034,1.0,3.082265417204578e-13
val_calib,10,0.06314580941446613,1.0,3.241940274721522e-13
val_calib,10,0.06318207926479034,1.0,3.3523358850130494e-13
val_calib,10,0.06321839080459771,1.0,3.4182469719193557e-13
val_calib,10,0.06325474410580793,1.0,4.5079100641772184e-13
val_calib,10,0.06329113924050633,1.0,4.61883393871311e-13
val_calib,10,0.06332757628094415,1.0,4.69022118698118e-13
val_calib,10,0.06336405529953917,1.0,4.896455351368419e-13
val_calib,10,0.06340057636887608,1.0,4.957994658961314e-13
val_calib,10,0.06343713956170703,1.0,5.035472126900862e-13
val_calib,10,0.06347374495095211,1.0,5.086426099600482e-13
val_calib,10,0.06351039260969978,1.0,5.119986981783074e-13
val_calib,10,0.0635470826112074,1.0,5.222360730367515e-13
val_calib,10,0.06358381502890173,1.0,5.312289479170376e-13
val_calib,10,0.06362058993637941,1.0,5.931188326279805e-13
val_calib,10,0.06365740740740741,1.0,6.33458265010249e-13
