replicate_id,n_engine_draws,n_unique_engines_in_draw,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_raw_late_delay,mean_raw_early_burden,mean_lead_time_alerted,median_lead_time_alerted,healthy_first_trigger_fraction
666,10,6,0.5966666666666667,0.0,0.0,0.0,0.5966666666666667,0.0,29.2,59.2,54.5,0.0
667,10,6,0.8866666666666667,0.0,0.0,0.0,0.8866666666666667,0.0,33.8,63.8,56.0,0.0
668,10,7,0.6,0.0,0.0,0.0,0.6,0.0,25.2,55.2,55.0,0.0
669,10,7,0.7466666666666667,0.0,0.0,0.0,0.7466666666666667,0.0,26.5,56.5,55.5,0.0
670,10,8,0.5833333333333333,0.0,0.0,0.0,0.5833333333333333,0.0,21.7,51.7,54.0,0.0
671,10,6,0.74,0.0,0.0,0.0,0.74,0.0,28.2,58.2,55.0,0.0
672,10,5,0.5233333333333333,0.0,0.0,0.0,0.5233333333333333,0.0,27.1,57.1,54.0,0.0
673,10,7,0.7899999999999999,0.0,0.0,0.0,0.7899999999999999,0.0,34.0,64.0,56.0,0.0
674,10,7,0.7200000000000001,0.0,0.0,0.0,0.7200000000000001,0.0,25.8,55.8,55.5,0.0
675,10,6,0.6599999999999999,0.0,0.0,0.0,0.6599999999999999,0.0,22.8,52.8,53.0,0.0
676,10,7,0.4866666666666667,0.0,0.0,0.0,0.4866666666666667,0.0,18.8,48.8,38.0,0.0
677,10,7,0.6833333333333333,0.0,0.0,0.0,0.6833333333333333,0.0,28.8,58.8,56.0,0.0
678,10,7,0.5166666666666666,0.0,0.0,0.0,0.5166666666666666,0.0,19.7,49.7,45.5,0.0
679,10,6,0.6433333333333333,0.0,0.0,0.0,0.6433333333333333,0.0,23.4,53.4,55.0,0.0
680,10,6,0.7699999999999999,0.0,0.0,0.0,0.7699999999999999,0.0,24.2,54.2,55.0,0.0
681,10,5,0.45,0.0,0.0,0.0,0.45,0.0,16.5,46.5,38.0,0.0
682,10,6,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,20.0,50.0,55.5,0.0
