horizon,draw,metric,value
10,139,Brier,0.0074295552957774885
10,139,precision,0.7077922077922078
10,139,recall,0.990909090909091
10,139,f1,0.8257575757575758
10,140,PR_AUC,0.973175224863174
10,140,Brier,0.006519884182081132
10,140,precision,0.7006369426751592
10,140,recall,1.0
10,140,f1,0.8239700374531835
10,141,PR_AUC,0.951452751440662
10,141,Brier,0.01007264287309033
10,141,precision,0.6708074534161491
10,141,recall,0.9818181818181818
10,141,f1,0.7970479704797048
10,142,PR_AUC,0.9786277824192132
10,142,Brier,0.007790368536163666
10,142,precision,0.7284768211920529
10,142,recall,1.0
10,142,f1,0.842911877394636
10,143,PR_AUC,0.9604037022871992
10,143,Brier,0.008129488702135996
10,143,precision,0.6526946107784432
10,143,recall,0.990909090909091
10,143,f1,0.7870036101083032
10,144,PR_AUC,0.9644219426186446
10,144,Brier,0.0071508151243390395
10,144,precision,0.6707317073170732
10,144,recall,1.0
10,144,f1,0.8029197080291971
10,145,PR_AUC,0.9502821226083582
10,145,Brier,0.0118005147892789
10,145,precision,0.6878980891719745
10,145,recall,0.9818181818181818
10,145,f1,0.8089887640449438
10,146,PR_AUC,0.9686522166262257
10,146,Brier,0.008803458341788445
10,146,precision,0.6918238993710691
10,146,recall,1.0
10,146,f1,0.8178438661710037
10,147,PR_AUC,0.9699613384493992
10,147,Brier,0.007461671347217991
10,147,precision,0.6606060606060606
10,147,recall,0.990909090909091
10,147,f1,0.7927272727272727
10,148,PR_AUC,0.9617288903201824
10,148,Brier,0.00810289227966369
10,148,precision,0.7218543046357616
10,148,recall,0.990909090909091
10,148,f1,0.8352490421455939
10,149,PR_AUC,0.9786880256949715
10,149,Brier,0.007714981993896435
10,149,precision,0.7801418439716312
10,149,recall,1.0
10,149,f1,0.8764940239043825
10,150,PR_AUC,0.9527617026152394
10,150,Brier,0.009617805950800964
10,150,precision,0.7171052631578947
10,150,recall,0.990909090909091
10,150,f1,0.8320610687022901
10,151,PR_AUC,0.9855360598860077
10,151,Brier,0.0066744428511061465
10,151,precision,0.7883211678832117
10,151,recall,0.9818181818181818
10,151,f1,0.8744939271255061
10,152,PR_AUC,0.9754481171508677
10,152,Brier,0.008645279678781434
10,152,precision,0.782608695652174
10,152,recall,0.9818181818181818
10,152,f1,0.8709677419354839
10,153,PR_AUC,0.9854858135070856
10,153,Brier,0.007500896915026286
10,153,precision,0.8257575757575758
10,153,recall,0.990909090909091
10,153,f1,0.9008264462809917
10,154,PR_AUC,0.978637820365718
10,154,Brier,0.007637435903383459
10,154,precision,0.7266666666666667
10,154,recall,0.990909090909091
10,154,f1,0.8384615384615385
10,155,PR_AUC,0.9470890503357569
10,155,Brier,0.010705296212888652
