horizon,model,representation,window,include_settings,class_weight,C,n_features,train_positive_rate,tune_positive_rate,tune_PR_AUC,tune_Brier,fit_time_seconds,inference_us_per_row
30,logistic,window,15.0,False,none,10.0,121,0.1495829599503688,0.15129331381161543,0.9758378211811546,0.01824140518404104,0.9560888200012414,0.3660224501533934
30,logistic,window,15.0,False,balanced,0.1,121,0.1495829599503688,0.15129331381161543,0.9601275769978492,0.08678551491084752,0.14513809399977617,0.41117398748889616
30,logistic,window,15.0,False,balanced,1.0,121,0.1495829599503688,0.15129331381161543,0.9641377720689552,0.04689472805416733,0.13829681899915158,0.42290580777177883
30,logistic,window,15.0,False,balanced,10.0,121,0.1495829599503688,0.15129331381161543,0.9707416942060303,0.03458402823302043,0.10579769299874897,0.551189604456677
30,logistic,window,15.0,True,none,0.1,123,0.1495829599503688,0.15129331381161543,0.975559939624211,0.01944626430121291,0.20547027599968715,0.43407467036465297
30,logistic,window,15.0,True,none,1.0,123,0.1495829599503688,0.15129331381161543,0.9765867546482495,0.01907771439636965,0.39244438400055515,0.3098462666115854
30,logistic,window,15.0,True,none,10.0,123,0.1495829599503688,0.15129331381161543,0.9758358188283827,0.01825920050364419,0.79751510800088,0.27634382637737165
30,logistic,window,15.0,True,balanced,0.1,123,0.1495829599503688,0.15129331381161543,0.9600911932613897,0.08678575591214159,0.1160469340011332,0.3876078572124697
30,logistic,window,15.0,True,balanced,1.0,123,0.1495829599503688,0.15129331381161543,0.9640799628974156,0.046902080618642004,0.1696472690000519,0.4344333819106683
30,logistic,window,15.0,True,balanced,10.0,123,0.1495829599503688,0.15129331381161543,0.9705254811638113,0.03461706195727262,0.1871279350016266,0.9357193751687495
30,logistic,window,30.0,False,none,0.1,121,0.1495829599503688,0.15129331381161543,0.9869346632222608,0.014028263498121722,0.1598929119991226,0.4626366519308108
30,logistic,window,30.0,False,none,1.0,121,0.1495829599503688,0.15129331381161543,0.9772022708229263,0.014415184697245344,0.2974398700007441,0.31801439724806785
30,logistic,window,30.0,False,none,10.0,121,0.1495829599503688,0.15129331381161543,0.9682625770684625,0.014636395178512358,0.8607905879998725,0.380784285103732
30,logistic,window,30.0,False,balanced,0.1,121,0.1495829599503688,0.15129331381161543,0.9546184287473275,0.08945220429033067,0.18811047800045344,0.4492144946864792
30,logistic,window,30.0,False,balanced,1.0,121,0.1495829599503688,0.15129331381161543,0.9659049843059487,0.04770248437882021,0.19592531499984034,0.41770497794847017
30,logistic,window,30.0,False,balanced,10.0,121,0.1495829599503688,0.15129331381161543,0.9808553249115408,0.03161783849296494,0.20443468499979645,0.38363616398167844
30,logistic,window,30.0,True,none,0.1,123,0.1495829599503688,0.15129331381161543,0.9870208278251931,0.014023744683206848,0.1845694250005181,0.3274443632307014
30,logistic,window,30.0,True,none,1.0,123,0.1495829599503688,0.15129331381161543,0.9771813950214993,0.014384740887022048,0.40802024399999937,0.5879250852969052
30,logistic,window,30.0,True,none,10.0,123,0.1495829599503688,0.15129331381161543,0.9682726174799292,0.014651685202647325,0.8942504130009183,0.31958906770055556
30,logistic,window,30.0,True,balanced,0.1,123,0.1495829599503688,0.15129331381161543,0.9545995648072041,0.08945265697792623,0.05520490000162681,0.4953301607673702
30,logistic,window,30.0,True,balanced,1.0,123,0.1495829599503688,0.15129331381161543,0.9658359126215116,0.04771088514740056,0.07645511299961072,0.36995046366938594
30,logistic,window,30.0,True,balanced,10.0,123,0.1495829599503688,0.15129331381161543,0.9807254997629351,0.031660412470228216,0.10891578900009335,0.37496925295702044
