draw_id,n_sampled_engines,n_unique_engines,mean_total_cost,miss_rate,mean_miss_component,mean_late_component,mean_early_component,mean_lead_time_if_alerted,median_lead_time_if_alerted,healthy_first_trigger_fraction
900,10,5,0.5533333333333333,0.0,0.0,0.0,0.5533333333333333,49.2,48.0,0.0
901,10,5,0.4766666666666667,0.0,0.0,0.0,0.4766666666666667,44.3,45.0,0.0
902,10,5,0.5133333333333333,0.0,0.0,0.13333333333333333,0.38,40.6,43.0,0.0
903,10,7,0.38999999999999996,0.0,0.0,0.13333333333333333,0.25666666666666665,36.9,38.0,0.0
904,10,6,0.6499999999999999,0.0,0.0,0.26666666666666666,0.38333333333333336,41.2,39.5,0.0
905,10,7,0.66,0.0,0.0,0.26666666666666666,0.39333333333333337,42.8,40.5,0.0
906,10,6,0.39,0.0,0.0,0.0,0.39,41.7,40.5,0.0
907,10,7,0.5766666666666665,0.0,0.0,0.0,0.5766666666666665,49.9,47.0,0.0
908,10,6,0.7866666666666665,0.0,0.0,0.26666666666666666,0.5199999999999999,46.6,47.0,0.0
909,10,6,0.37333333333333324,0.0,0.0,0.13333333333333333,0.23999999999999994,36.4,34.5,0.0
910,10,5,0.45666666666666667,0.0,0.0,0.0,0.45666666666666667,46.3,42.0,0.0
911,10,6,0.43666666666666665,0.0,0.0,0.0,0.43666666666666665,44.4,43.0,0.0
912,10,6,0.6466666666666667,0.0,0.0,0.26666666666666666,0.38,42.4,40.5,0.0
913,10,6,0.5966666666666666,0.0,0.0,0.26666666666666666,0.32999999999999996,39.6,39.0,0.0
914,10,7,0.51,0.0,0.0,0.0,0.51,46.6,44.5,0.0
915,10,7,0.6699999999999999,0.0,0.0,0.13333333333333333,0.5366666666666666,47.9,44.5,0.0
916,10,4,0.5033333333333333,0.0,0.0,0.26666666666666666,0.23666666666666664,35.5,39.0,0.0
917,10,8,0.64,0.0,0.0,0.13333333333333333,0.5066666666666667,47.0,44.0,0.0
918,10,6,0.4833333333333332,0.0,0.0,0.13333333333333333,0.35,41.0,39.5,0.0
919,10,7,0.6900000000000001,0.0,0.0,0.26666666666666666,0.42333333333333334,42.4,45.0,0.0
920,10,4,0.6,0.0,0.0,0.26666666666666666,0.3333333333333333,38.4,39.0,0.0
921,10,6,0.5633333333333332,0.0,0.0,0.26666666666666666,0.2966666666666667,37.3,39.5,0.0
922,10,7,0.5166666666666667,0.0,0.0,0.0,0.5166666666666667,46.8,45.0,0.0
923,10,5,0.4533333333333333,0.0,0.0,0.0,0.4533333333333333,43.6,44.0,0.0
924,10,7,0.5066666666666666,0.0,0.0,0.26666666666666666,0.23999999999999994,35.6,38.0,0.0
925,10,6,0.38,0.0,0.0,0.0,0.38,41.4,42.0,0.0
926,10,7,0.3633333333333333,0.0,0.0,0.0,0.3633333333333333,40.9,41.5,0.0
927,10,7,0.7066666666666666,0.0,0.0,0.26666666666666666,0.44000000000000006,44.2,43.5,0.0
928,10,6,0.5933333333333333,0.0,0.0,0.0,0.5933333333333333,51.7,48.0,0.0
929,10,9,0.5833333333333334,0.0,0.0,0.26666666666666666,0.31666666666666665,37.9,40.5,0.0
930,10,6,0.43333333333333324,0.0,0.0,0.0,0.43333333333333324,43.0,43.0,0.0
931,10,6,0.5799999999999998,0.0,0.0,0.13333333333333333,0.44666666666666666,42.6,45.5,0.0
932,10,8,0.6033333333333333,0.0,0.0,0.13333333333333333,0.4699999999999999,44.6,45.5,0.0
933,10,7,0.4999999999999999,0.0,0.0,0.13333333333333333,0.3666666666666666,40.2,42.0,0.0
934,10,8,0.61,0.0,0.0,0.13333333333333333,0.4766666666666667,46.1,43.5,0.0
935,10,6,0.55,0.0,0.0,0.0,0.55,49.1,47.0,0.0
